Id,CMPLNT_FR_DT,n,date,dummyConditional,NewdummyConditional
1,CMPLNT_FR_DT,NULL,date,NULL,0
2,02/14/1015,1,1015-02-14,0,0
3,09/16/1015,1,1015-09-16,0,0
4,10/27/1015,1,1015-10-27,0,0
5,11/25/1015,1,1015-11-25,0,0
6,02/14/1016,2,1016-02-14,0,0
7,04/12/1016,1,1016-04-12,0,0
8,05/15/1016,1,1016-05-15,0,0
9,05/21/1016,1,1016-05-21,0,0
10,09/05/1016,1,1016-09-05,0,0
11,09/14/1016,1,1016-09-14,0,0
12,09/26/1016,1,1016-09-26,0,0
13,10/14/1016,1,1016-10-14,0,0
14,01/22/1017,1,1017-01-22,0,0
15,02/24/1017,1,1017-02-24,0,0
16,03/18/1017,1,1017-03-18,0,0
17,03/25/1017,2,1017-03-25,0,0
18,04/11/1017,1,1017-04-11,0,0
19,04/17/1017,1,1017-04-17,0,0
20,06/15/1017,1,1017-06-15,0,0
21,09/14/1017,1,1017-09-14,0,0
22,09/16/1017,1,1017-09-16,0,0
23,09/30/1017,1,1017-09-30,0,0
24,11/12/1017,1,1017-11-12,0,0
25,12/14/1017,1,1017-12-14,0,0
26,12/04/1018,2,1018-12-04,0,0
27,12/08/1018,2,1018-12-08,0,0
28,12/10/1018,1,1018-12-10,0,0
29,12/14/1018,1,1018-12-14,0,0
30,01/07/1019,2,1019-01-07,0,0
31,01/08/1019,2,1019-01-08,0,0
32,01/13/1019,1,1019-01-13,0,0
33,01/14/1019,1,1019-01-14,0,0
34,02/10/1019,2,1019-02-10,0,0
35,02/16/1019,1,1019-02-16,0,0
36,03/05/1019,2,1019-03-05,0,0
37,03/11/1019,1,1019-03-11,0,0
38,04/08/1019,2,1019-04-08,0,0
39,04/14/1019,2,1019-04-14,0,0
40,04/16/1019,1,1019-04-16,0,0
41,04/22/1019,1,1019-04-22,0,0
42,06/30/1019,1,1019-06-30,0,0
43,07/06/1019,2,1019-07-06,0,0
44,07/12/1019,1,1019-07-12,0,0
45,07/17/1019,1,1019-07-17,0,0
46,07/23/1019,1,1019-07-23,0,0
47,07/27/1019,1,1019-07-27,0,0
48,08/02/1019,1,1019-08-02,0,0
49,08/04/1019,1,1019-08-04,0,0
50,08/10/1019,1,1019-08-10,0,0
51,11/10/1019,1,1019-11-10,0,0
52,11/16/1019,1,1019-11-16,0,0
53,11/30/1019,1,1019-11-30,0,0
54,12/06/1019,1,1019-12-06,0,0
55,02/04/1026,1,1026-02-04,0,0
56,03/01/1026,1,1026-03-01,0,0
57,09/25/1026,1,1026-09-25,0,0
58,12/05/1027,1,1027-12-05,0,0
59,12/13/1027,1,1027-12-13,0,0
60,02/07/1029,2,1029-02-07,0,0
61,02/13/1029,1,1029-02-13,0,0
62,05/16/1029,1,1029-05-16,0,0
63,05/22/1029,1,1029-05-22,0,0
64,07/04/1029,1,1029-07-04,0,0
65,07/10/1029,1,1029-07-10,0,0
66,10/29/1029,1,1029-10-29,0,0
67,10/31/1029,1,1029-10-31,0,0
